,level,annotation,index
0,ec2,EC:1.1,0
1,ec2,EC:1.10,1
2,ec2,EC:1.11,2
3,ec2,EC:1.12,3
4,ec2,EC:1.13,4
5,ec2,EC:1.14,5
6,ec2,EC:1.16,6
7,ec2,EC:1.17,7
8,ec2,EC:1.18,8
9,ec2,EC:1.2,9
10,ec2,EC:1.21,10
11,ec2,EC:1.3,11
12,ec2,EC:1.4,12
13,ec2,EC:1.5,13
14,ec2,EC:1.6,14
15,ec2,EC:1.7,15
16,ec2,EC:1.8,16
17,ec2,EC:1.97,17
18,ec2,EC:10.1,18
19,ec2,EC:10.2,19
20,ec2,EC:10.4,20
21,ec2,EC:2.1,21
22,ec2,EC:2.2,22
23,ec2,EC:2.3,23
24,ec2,EC:2.4,24
25,ec2,EC:2.5,25
26,ec2,EC:2.6,26
27,ec2,EC:2.7,27
28,ec2,EC:2.8,28
29,ec2,EC:3.1,29
30,ec2,EC:3.2,30
31,ec2,EC:3.3,31
32,ec2,EC:3.4,32
33,ec2,EC:3.5,33
34,ec2,EC:3.6,34
35,ec2,EC:3.7,35
36,ec2,EC:3.8,36
37,ec2,EC:4.1,37
38,ec2,EC:4.2,38
39,ec2,EC:4.3,39
40,ec2,EC:4.4,40
41,ec2,EC:4.5,41
42,ec2,EC:4.6,42
43,ec2,EC:4.99,43
44,ec2,EC:5.1,44
45,ec2,EC:5.2,45
46,ec2,EC:5.3,46
47,ec2,EC:5.4,47
48,ec2,EC:5.5,48
49,ec2,EC:5.6,49
50,ec2,EC:6.1,50
51,ec2,EC:6.2,51
52,ec2,EC:6.3,52
53,ec2,EC:6.4,53
54,ec2,EC:6.5,54
55,ec2,EC:7.1,55
56,ec2,EC:7.2,56
57,ec2,EC:7.3,57
58,ec2,EC:7.4,58
59,ec2,EC:7.5,59
60,ec2,EC:7.6,60
61,ec2,EC:7.9,61
62,ec2,EC:8.1,62
63,ec2,EC:8.2,63
64,ec2,EC:9.1,64
65,ec2,EC:9.3,65
