,level,annotation,index
0,ec3,EC:1.1.1,0
1,ec3,EC:1.1.2,1
2,ec3,EC:1.1.3,2
3,ec3,EC:1.1.5,3
4,ec3,EC:1.1.9,4
5,ec3,EC:1.1.98,5
6,ec3,EC:1.1.99,6
7,ec3,EC:1.10.3,7
8,ec3,EC:1.10.5,8
9,ec3,EC:1.11.1,9
10,ec3,EC:1.11.2,10
11,ec3,EC:1.13.11,11
12,ec3,EC:1.13.12,12
13,ec3,EC:1.14.11,13
14,ec3,EC:1.14.12,14
15,ec3,EC:1.14.13,15
16,ec3,EC:1.14.14,16
17,ec3,EC:1.14.15,17
18,ec3,EC:1.14.16,18
19,ec3,EC:1.14.17,19
20,ec3,EC:1.14.18,20
21,ec3,EC:1.14.19,21
22,ec3,EC:1.14.20,22
23,ec3,EC:1.14.99,23
24,ec3,EC:1.17.1,24
25,ec3,EC:1.17.3,25
26,ec3,EC:1.17.4,26
27,ec3,EC:1.17.9,27
28,ec3,EC:1.17.99,28
29,ec3,EC:1.2.1,29
30,ec3,EC:1.2.3,30
31,ec3,EC:1.2.4,31
32,ec3,EC:1.2.5,32
33,ec3,EC:1.2.7,33
34,ec3,EC:1.2.99,34
35,ec3,EC:1.21.3,35
36,ec3,EC:1.21.99,36
37,ec3,EC:1.3.1,37
38,ec3,EC:1.3.3,38
39,ec3,EC:1.3.5,39
40,ec3,EC:1.3.6,40
41,ec3,EC:1.3.7,41
42,ec3,EC:1.3.8,42
43,ec3,EC:1.3.99,43
44,ec3,EC:1.4.1,44
45,ec3,EC:1.4.3,45
46,ec3,EC:1.4.9,46
47,ec3,EC:1.4.99,47
48,ec3,EC:1.5.1,48
49,ec3,EC:1.5.3,49
50,ec3,EC:1.5.5,50
51,ec3,EC:1.5.8,51
52,ec3,EC:1.5.99,52
53,ec3,EC:1.6.2,53
54,ec3,EC:1.6.4,54
55,ec3,EC:1.6.5,55
56,ec3,EC:1.6.8,56
57,ec3,EC:1.7.1,57
58,ec3,EC:1.7.2,58
59,ec3,EC:1.7.3,59
60,ec3,EC:1.7.4,60
61,ec3,EC:1.7.6,61
62,ec3,EC:1.7.7,62
63,ec3,EC:1.7.9,63
64,ec3,EC:1.8.1,64
65,ec3,EC:1.8.3,65
66,ec3,EC:1.8.4,66
67,ec3,EC:1.8.5,67
68,ec3,EC:1.8.98,68
69,ec3,EC:1.97.1,69
70,ec3,EC:10.1.1,70
71,ec3,EC:10.1.2,71
72,ec3,EC:10.1.5,72
73,ec3,EC:10.2.1,73
74,ec3,EC:10.4.2,74
75,ec3,EC:2.1.1,75
76,ec3,EC:2.1.2,76
77,ec3,EC:2.1.3,77
78,ec3,EC:2.1.4,78
79,ec3,EC:2.1.7,79
80,ec3,EC:2.2.1,80
81,ec3,EC:2.2.3,81
82,ec3,EC:2.3.1,82
83,ec3,EC:2.3.2,83
84,ec3,EC:2.3.3,84
85,ec3,EC:2.4.1,85
86,ec3,EC:2.4.2,86
87,ec3,EC:2.4.99,87
88,ec3,EC:2.5.1,88
89,ec3,EC:2.6.1,89
90,ec3,EC:2.6.3,90
91,ec3,EC:2.7.1,91
92,ec3,EC:2.7.11,92
93,ec3,EC:2.7.2,93
94,ec3,EC:2.7.3,94
95,ec3,EC:2.7.4,95
96,ec3,EC:2.7.6,96
97,ec3,EC:2.7.7,97
98,ec3,EC:2.7.8,98
99,ec3,EC:2.8.1,99
100,ec3,EC:2.8.2,100
101,ec3,EC:2.8.3,101
102,ec3,EC:2.8.4,102
103,ec3,EC:3.1.1,103
104,ec3,EC:3.1.2,104
105,ec3,EC:3.1.3,105
106,ec3,EC:3.1.4,106
107,ec3,EC:3.1.5,107
108,ec3,EC:3.1.6,108
109,ec3,EC:3.1.8,109
110,ec3,EC:3.2.1,110
111,ec3,EC:3.2.2,111
112,ec3,EC:3.3.1,112
113,ec3,EC:3.3.2,113
114,ec3,EC:3.4.1,114
115,ec3,EC:3.4.11,115
116,ec3,EC:3.4.13,116
117,ec3,EC:3.4.14,117
118,ec3,EC:3.4.15,118
119,ec3,EC:3.4.16,119
120,ec3,EC:3.4.17,120
121,ec3,EC:3.4.18,121
122,ec3,EC:3.4.19,122
123,ec3,EC:3.4.21,123
124,ec3,EC:3.4.22,124
125,ec3,EC:3.4.23,125
126,ec3,EC:3.4.24,126
127,ec3,EC:3.5.1,127
128,ec3,EC:3.5.2,128
129,ec3,EC:3.5.3,129
130,ec3,EC:3.5.4,130
131,ec3,EC:3.5.5,131
132,ec3,EC:3.5.99,132
133,ec3,EC:3.6.1,133
134,ec3,EC:3.6.4,134
135,ec3,EC:3.7.1,135
136,ec3,EC:3.8.1,136
137,ec3,EC:4.1.1,137
138,ec3,EC:4.1.2,138
139,ec3,EC:4.1.3,139
140,ec3,EC:4.1.99,140
141,ec3,EC:4.2.1,141
142,ec3,EC:4.2.2,142
143,ec3,EC:4.2.3,143
144,ec3,EC:4.3.1,144
145,ec3,EC:4.3.2,145
146,ec3,EC:4.3.3,146
147,ec3,EC:4.4.1,147
148,ec3,EC:4.5.1,148
149,ec3,EC:4.6.1,149
150,ec3,EC:4.99.1,150
151,ec3,EC:5.1.1,151
152,ec3,EC:5.1.2,152
153,ec3,EC:5.1.3,153
154,ec3,EC:5.1.99,154
155,ec3,EC:5.2.1,155
156,ec3,EC:5.3.1,156
157,ec3,EC:5.3.2,157
158,ec3,EC:5.3.3,158
159,ec3,EC:5.3.99,159
160,ec3,EC:5.4.2,160
161,ec3,EC:5.4.3,161
162,ec3,EC:5.4.4,162
163,ec3,EC:5.4.99,163
164,ec3,EC:5.5.1,164
165,ec3,EC:6.1.1,165
166,ec3,EC:6.1.3,166
